This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \____________    \
7b4d34d6263cac9413b5d202c74e4269f7c63e7f180407623a56201499cea33c 1 0 0 0
be53c996947151652ded5dceeed4d1dc2a0fb336c453f7794f0e748ba3a3196a 32 0 0 0
66676e1e2240c56edf6ad3a79d934fe5186996165ea5c3d43a12cb1d6fd0710c 14 14 10210 6996
1c2ca3b7276d5fe6bf738414e254ef27c92f22d8cbaf722782bc4628e37488ed 6348 65 357012 11553
5dae2bdcc7a80bb0c4c2fac4468938bb76bb229a8ae1b1a5cabbd664bba68ee9 317 7 33647 296588
7daf74e340e3d133737433416515e5ab16d6a982ab7844f28729a464c2afbc6f 9 9 3663 500
637f5f4e914b054eef49400bc4b3f5534326b57b247300a96d0aebf75a6aeeb8 77085 0 0 0
f95d82dd3ae6a402d9ffa1bd9c0abd2d23f6e794868277c63d91ff58a247c173 410 0 0 0
5c8f39c726c43f27b4ec50d1e0e97ff8f046bf97c27afc6525e8592ca00ada48 1 1 11716 0
697f2d697ccfe6e01b97fad28a96afb94502601d0adb546ffe3fc94835cbfd06 2649 0 0 0
